,OverallQual,YearBuilt,YearRemodAdd,Foundation,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
374,6.666666666666666,9.492753623188406,9.0,4.0,5.0,7.5,0.0,2.641921397379913,0.0,1.772633033863165,5.946094609460946,4.840570907986638,6.666666666666666,6.666666666666666,6.0,3.333333333333333,4.0,5.0,9.175257731958762,0.0,5.0,3.1223021582733814,1.358695652173913,0.8775137111517367,3.1282833418064735
858,6.666666666666666,7.536231884057971,4.333333333333334,2.0,5.0,7.5,0.0,3.399875233936369,10.0,3.5798203178991015,0.0,3.1460674157303368,6.666666666666666,10.0,4.0,3.333333333333333,8.0,1.6666666666666665,6.391752577319587,3.333333333333333,5.0,3.446043165467626,0.0,0.0,1.984409422131842
661,7.777777777777778,8.840579710144928,9.166666666666666,4.0,5.0,7.5,6.220292504570384,5.08109794135995,0.0,4.671734623358673,4.191419141914191,6.419678105071363,6.666666666666666,6.666666666666666,6.0,3.333333333333333,8.0,1.6666666666666665,8.24742268041237,3.333333333333333,7.5,5.115107913669065,7.024456521739131,1.389396709323583,6.220979495000847
607,4.444444444444445,5.507246376811594,8.666666666666668,2.0,7.5,7.5,2.7559414990859232,2.7947598253275108,0.0,2.6883206634416035,4.928492849284928,5.083510476768903,10.0,0.0,6.0,0.0,10.0,1.6666666666666665,3.5051546391752577,6.666666666666666,2.5,1.6546762589928057,1.3994565217391306,0.0,3.2214878834095915
1163,3.333333333333333,7.028985507246377,3.1666666666666665,2.0,5.0,0.0,5.4753199268738575,3.736743605739239,10.0,3.1928127159640636,0.0,2.8059520194351655,0.0,10.0,4.0,0.0,10.0,6.666666666666666,5.6701030927835046,6.666666666666666,5.0,2.8776978417266186,1.6304347826086958,0.0,1.2550245721064226
1110,5.555555555555555,8.91304347826087,7.666666666666667,4.0,5.0,7.5,1.0009140767824496,2.4111041796631314,5.0,1.5169315825846579,4.867986798679868,4.020649863346493,6.666666666666666,10.0,6.0,3.333333333333333,8.0,1.6666666666666665,8.350515463917526,0.0,5.0,3.100719424460432,3.0434782608695654,1.5356489945155394,2.5944755126249786
414,6.666666666666666,8.768115942028986,7.166666666666667,4.0,5.0,7.5,0.22851919561243145,3.368683718028696,0.0,2.5777470628887356,5.594059405940595,5.353780747039174,6.666666666666666,6.666666666666666,7.0,3.333333333333333,8.0,1.6666666666666665,8.144329896907216,6.666666666666666,7.5,4.877697841726619,2.6630434782608696,3.4186471663619744,3.27232672428402
122,5.555555555555555,6.231884057971015,1.3333333333333333,2.0,7.5,7.5,2.6051188299817185,3.368683718028696,5.0,2.5777470628887356,0.0,2.265411478894625,3.333333333333333,10.0,3.0,0.0,10.0,1.6666666666666665,4.536082474226804,6.666666666666666,2.5,2.0719424460431655,0.0,0.0,1.713268937468226
1250,6.666666666666666,6.956521739130435,3.0,2.0,7.5,7.5,4.86745886654479,6.581409856519027,0.0,6.136834830684174,0.0,5.393258426966292,6.666666666666666,0.0,6.0,6.666666666666666,8.0,1.6666666666666665,5.56701030927835,0.0,5.0,3.7553956834532376,0.0,0.0,3.543467208947636
421,5.555555555555555,7.608695652173914,8.333333333333334,2.0,5.0,7.5,5.694698354661791,4.996880848409233,5.0,4.381478921907394,0.0,3.850592165198907,6.666666666666666,6.666666666666666,6.0,3.333333333333333,8.0,1.6666666666666665,6.494845360824742,0.0,5.0,3.8057553956834536,3.2608695652173916,0.0,3.0520250804948312
